Core: hps_sdram_p0 - Instance: hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.55,0.523
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.108,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.245,0.111
"Postamble (Slow 1100mV 85C Model)",0.416,0.416
"Read Capture (Slow 1100mV 85C Model)",0.181,0.134
"Write (Slow 1100mV 85C Model)",0.207,0.207
"Address Command (Slow 1100mV 0C Model)",0.542,0.517
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.135,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.251,0.15
"Postamble (Slow 1100mV 0C Model)",0.403,0.403
"Read Capture (Slow 1100mV 0C Model)",0.197,0.15
"Write (Slow 1100mV 0C Model)",0.219,0.219
"Address Command (Slow 1100mV 0C Model)",0.542,0.517
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.135,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.251,0.15
"Postamble (Slow 1100mV 0C Model)",0.403,0.403
"Read Capture (Slow 1100mV 0C Model)",0.197,0.15
"Write (Slow 1100mV 0C Model)",0.219,0.219
"Address Command (Fast 1100mV 85C Model)",0.592,0.561
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.244,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.308,0.247
"Postamble (Fast 1100mV 85C Model)",0.518,0.518
"Read Capture (Fast 1100mV 85C Model)",0.319,0.272
"Write (Fast 1100mV 85C Model)",0.277,0.277
"Address Command (Fast 1100mV 85C Model)",0.592,0.561
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.244,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.308,0.247
"Postamble (Fast 1100mV 85C Model)",0.518,0.518
"Read Capture (Fast 1100mV 85C Model)",0.319,0.272
"Write (Fast 1100mV 85C Model)",0.277,0.277
"Address Command (Fast 1100mV 0C Model)",0.57,0.587
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.257,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.305,0.275
"Postamble (Fast 1100mV 0C Model)",0.524,0.524
"Read Capture (Fast 1100mV 0C Model)",0.319,0.272
"Write (Fast 1100mV 0C Model)",0.291,0.291
"Address Command (Fast 1100mV 0C Model)",0.57,0.587
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.257,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.305,0.275
"Postamble (Fast 1100mV 0C Model)",0.524,0.524
"Read Capture (Fast 1100mV 0C Model)",0.319,0.272
"Write (Fast 1100mV 0C Model)",0.291,0.291
